x_mm,y_mm,z_mm,slice_idx
-109.7148,-51.9104,21.5603,8
-110.8747,-50.8782,22.4055,8
-111.4837,-50.9164,22.5407,8
-112.0636,-50.4003,22.9633,8
-112.6726,-50.4385,23.0985,8
-113.8325,-49.4062,23.9437,8
-113.8034,-48.8519,24.2310,8
-114.3833,-48.3358,24.6535,8
-114.3543,-47.7816,24.9408,8
-113.7162,-47.1891,25.0929,8
-114.2962,-46.6730,25.5155,8
-114.2671,-46.1187,25.8028,8
-113.6290,-45.5262,25.9548,8
-113.6000,-44.9719,26.2421,8
-117.0796,-41.8753,28.7775,8
-116.8762,-37.9953,30.7887,8
-117.4561,-37.4792,31.2112,8
-117.4270,-36.9249,31.4985,8
-118.0070,-36.4088,31.9211,8
-117.9198,-34.7459,32.7830,8
-116.0056,-32.9685,33.2392,8
-115.9184,-31.3057,34.1011,8
-115.2804,-30.7132,34.2532,8
-115.2513,-30.1589,34.5405,8
-113.9752,-28.9740,34.8446,8
-113.9462,-28.4197,35.1319,8
-110.7559,-25.4574,35.8922,8
-110.1469,-25.4192,35.7570,8
-109.5088,-24.8268,35.9090,8
-108.8998,-24.7886,35.7738,8
-108.2618,-24.1961,35.9258,8
-107.6528,-24.1579,35.7906,8
-107.0147,-23.5655,35.9426,8
-105.7967,-23.4891,35.6721,8
-105.1587,-22.8966,35.8242,8
-103.9407,-22.8203,35.5537,8
-103.3026,-22.2278,35.7058,8
-100.2577,-22.0369,35.0295,8
-99.6777,-22.5530,34.6069,8
-98.4597,-22.4767,34.3364,8
-97.8798,-22.9928,33.9139,8
-97.2708,-22.9546,33.7786,8
-96.6909,-23.4707,33.3561,8
-96.0819,-23.4326,33.2208,8
-95.5020,-23.9487,32.7982,8
-94.8930,-23.9105,32.6630,8
-93.1532,-25.4588,31.3953,8
-92.5442,-25.4206,31.2601,8
-91.9642,-25.9367,30.8375,8
-91.3552,-25.8986,30.7022,8
-88.4556,-28.4791,28.5894,8
-88.4846,-29.0334,28.3021,8
-87.9047,-29.5495,27.8796,8
-87.9338,-30.1038,27.5922,8
-87.3538,-30.6199,27.1697,8
-87.3829,-31.1742,26.8824,8
-86.2230,-32.2064,26.0373,8
-86.2811,-33.3150,25.4626,8
-85.7012,-33.8311,25.0401,8
-85.9627,-38.8197,22.4543,8
-86.6008,-39.4121,22.3022,8
-86.6589,-40.5207,21.7276,8
-87.2970,-41.1132,21.5755,8
-87.3842,-42.7760,20.7136,8
-88.0222,-43.3685,20.5616,8
-88.0513,-43.9228,20.2742,8
-89.3274,-45.1077,19.9701,8
-89.9364,-45.1459,20.1054,8
-91.8505,-46.9233,19.6492,8
-93.0685,-46.9996,19.9197,8
-93.7066,-47.5921,19.7677,8
-94.3156,-47.6303,19.9029,8
-94.8955,-47.1142,20.3255,8
-97.4477,-49.4840,19.7172,8
-98.0567,-49.5222,19.8525,8
-99.3328,-50.7071,19.5484,8
-102.9868,-50.9362,20.3599,8
-103.5667,-50.4201,20.7824,8
-104.2048,-51.0125,20.6304,8
-104.7847,-50.4964,21.0529,8
-105.4228,-51.0889,20.9009,8
-108.4678,-51.2798,21.5771,8
-109.1058,-51.8722,21.4251,8
-104.4380,-51.6802,16.5036,9
-106.7578,-49.6158,18.1938,9
-108.5848,-49.7303,18.5996,9
